Date,eur_mxn,usd_mxn,gbp_mxn
2017-06-30,20.635599,18.113899,23.469601
2017-07-03,20.661699,18.1807,23.5436
2017-07-04,20.672501,18.2141,23.5397
2017-07-05,20.691601,18.308399,23.5557
2017-07-06,20.774799,18.273001,23.676201
2017-07-07,20.8764,18.070999,23.696501
2017-07-10,20.6187,17.9377,23.308001
2017-07-12,20.5539,17.771,23.035601
2017-07-13,20.2922,17.688801,22.909401
2017-07-14,20.1835,17.5546,22.9146
2017-07-17,20.163401,17.577299,23.039301
2017-07-18,20.1663,17.4914,22.938601
2017-07-19,20.2006,17.5714,22.8041
2017-07-20,20.254101,17.489901,22.8925
2017-07-21,20.3367,17.636801,22.6724
2017-07-24,20.5835,17.7265,22.9142
2017-07-25,20.6429,17.763201,23.106001
2017-07-26,20.6861,17.576599,23.137699
2017-07-27,20.625401,17.7257,23.059999
2017-07-28,20.718,17.7677,23.1766
2017-07-31,20.861099,17.8097,23.341999
2017-08-01,21.055901,17.880501,23.4932
2017-08-02,21.130199,17.8286,23.6278
2017-08-03,21.128901,17.854,23.5819
2017-08-04,21.2134,17.885201,23.463499
2017-08-07,21.031601,17.925699,23.295
2017-08-08,21.164,17.8606,23.3843
2017-08-09,20.9904,17.951,23.187901
2017-08-10,21.108801,17.974701,23.3494
2017-08-11,21.153,17.811399,23.320299
2017-08-14,21.065399,17.774599,23.1674
2017-08-15,20.927999,17.805201,23.037901
2017-08-16,20.9042,17.6658,22.908899
2017-08-17,20.7934,17.893499,22.7633
2017-08-18,20.9613,17.6947,23.020201
2017-08-21,20.8263,17.6598,22.805099
2017-08-22,20.8566,17.6551,22.7742
2017-08-23,20.764299,17.6835,22.637899
2017-08-24,20.8915,17.6987,22.636499
2017-08-25,20.894199,17.599501,22.668501
2017-08-28,21.066,17.9228,22.7467
2017-08-29,21.440701,17.851801,23.1665
2017-08-30,21.367701,17.736601,23.0683
2017-08-31,21.0865,17.8773,22.912701
2017-09-01,21.3032,17.809099,23.142099
2017-09-04,21.1656,17.8808,23.091999
